Hero,Appeared With
IN-BETWEENER,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL"
MR. FANTASTIC/REED R,"DR. OCTOPUS/OTTO OCT, ROSENTHAL, BERNIE, ANDROMEDA/ANDROMEDA , VULTURE/ADRIAN TOOME, INTERLOPER, DAREDEVIL/MATT MURDO, PARKER, MAY, MOONDRAGON/HEATHER D, HUMAN TORCH/JOHNNY S, ANELLE, UATU, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, BEYONDER, STARFOX/EROS, OBLIVION, NORRISS, SISTER BARB, GALACTUS/GALAN, MASTERS, ALICIA REIS, THUNDERSTRIKE/ERIC K, SANDMAN/WILLIAM BAKE, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, BROMWELL, DR., GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , WONG, SCARLET WITCH/WANDA , KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, DRAGON OF THE MOON, BLACK PANTHER/T'CHAL, NIGHT THRASHER/DUANE, IRON MAN/TONY STARK , PUNISHER II/FRANK CA, GREEN GOBLIN/NORMAN , GLADIATOR II, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, MCKEEVER, TINY, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, ANT-MAN/DR. HENRY J., LEEDS, NED, NOVA II/FRANKIE RAYE, VISION , JAMESON, J. JONAH, MOLECULE MAN/OWEN RE, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, WOLVERINE/LOGAN , KRAVEN THE HUNTER/SE, CAPTAIN MARVEL II/MO, IN-BETWEENER, JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, GRIMM, JAKE, OSBORN, LIZ ALLAN, MANSLAUGHTER, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, SOUTHERN, CANDY, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANNIHILUS, LEEDS, BETTY BRANT, JARVIS, EDWIN , SPIDER-MAN/PETER PAR, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
ANGEL/WARREN KENNETH,"EL TIGRE, ARISHEM [CELESTIAL], ZIRAN, ANDROMEDA/ANDROMEDA , INTERLOPER, DAREDEVIL/MATT MURDO, HENDERSHOOT, COLONEL, PARKER, MAY, MOONDRAGON/HEATHER D, LOCUST, HUMAN TORCH/JOHNNY S, SCARECROW/EBENEZER L, UATU, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, GAMMENON [CELESTIAL], SHE-HULK/JENNIFER WA, ZELDA, GHOST RIDER III/DAN , BEYONDER, KUKULCAN/VIRAKO/QUET, OBLIVION, NORRISS, SISTER BARB, WORTHINGTON, WARREN , GALACTUS/GALAN, FREDERICKS, GENERAL, THUNDERSTRIKE/ERIC K, SILVER SURFER/NORRIN, EEL/LEOPOLD STRYKE, KAUR, BENAZIR, SUPER-ADAPTOID/ALESS, UNUS THE UNTOUCHABLE, WONDER MAN/SIMON WIL, OGRE, TIGRA/GREER NELSON, GHOST RIDER II/JOHNN, BISHOP /, KINE, BENEDICT, GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , WONG, SCARLET WITCH/WANDA , LUCIFER, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, DRAGON OF THE MOON, UNICORN/MYLOS MASARY, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, PUNISHER II/FRANK CA, BLOB/FRED J. DUKES, GREEN GOBLIN/NORMAN , SUPREME ONE, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, PLANTMAN/SAM SMITHER, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, ROBERTS, TED, PAYGE, REEVA, MCKEEVER, TINY, BANSHEE/SEAN CASSIDY, SPEEDBALL/ROBBIE BAL, SHAW, SHINOBI, CLOUD, ANT-MAN/DR. HENRY J., VISION , JAMESON, J. JONAH, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, WOLVERINE/LOGAN , HAWK, MIMIC/CALVIN RANKIN, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , BLACK WIDOW/NATASHA , WORTHINGTON, KATHRYN, IN-BETWEENER, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, STAR THIEF II, STORM/ORORO MUNROE S, PORCUPINE/ALEX GENTR, KUBIK, DAZZLER II/ALLISON B, OSBORN, LIZ ALLAN, MANSLAUGHTER, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, TOLOC, WASP/JANET VAN DYNE , GAMBIT/REMY LEBEAU , NOVA/RICHARD RIDER, SOUTHERN, CANDY, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, RAMON, PENANCE/MONET ST. CR, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, JARVIS, EDWIN , ONE ABOVE ALL [CELES, COUNT NEFARIA, LUCHI, CANTOR, VERA, DOMINUS, SPIDER-MAN/PETER PAR, SUMMERS, NATHAN CHRI, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
DEATH,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, GRIMM, JAKE, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, HUMAN TORCH/JOHNNY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, ANELLE, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, NOVA II/FRANKIE RAYE, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, BLACK PANTHER/T'CHAL, IN-BETWEENER"
MASTER ORDER,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
JUBILEE/JUBILATION L,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, GAMBIT/REMY LEBEAU , NOVA/RICHARD RIDER, PAYGE, REEVA, KAUR, BENAZIR, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, CAPTAIN AMERICA, SHAW, SHINOBI, PROFESSOR X/CHARLES , MARVEL GIRL/JEAN GRE, BISHOP /, KINE, BENEDICT, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , JARVIS, EDWIN , THING/BENJAMIN J. GR, KISMET/J'RIDIA STARD, MASTER ORDER, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
THING/BENJAMIN J. GR,"DR. OCTOPUS/OTTO OCT, ROSENTHAL, BERNIE, ALRAUNE, MARLENE, ANT-MAN II/SCOTT HAR, ANDROMEDA/ANDROMEDA , VULTURE/ADRIAN TOOME, DAREDEVIL/MATT MURDO, PARKER, MAY, FRENCHIE/JEAN-PAUL D, GARVIN, GEARS, HUMAN TORCH/JOHNNY S, ANELLE, KRISTOFF/KRISTOFF VE, UATU, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, LYJA LAZERFIST [SKRU, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, ULTRON, STARFOX/EROS, COLLINS, DEMITRIUS, OBLIVION, DIAMOND, CHUCKY, GALACTUS/GALAN, MASTERS, ALICIA REIS, THUNDERSTRIKE/ERIC K, SANDMAN/WILLIAM BAKE, KINCAID, DR. JANE FO, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, BROMWELL, DR., LIVING MUMMY, ICEMAN/ROBERT BOBBY , RICHARDS, NATHANIEL, MACHINE MAN/X-51, WONG, SCARLET WITCH/WANDA , PSI-LORD/FRANKLIN BE, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, MAJESTON ZELIA, BLACK PANTHER/T'CHAL, SPAULDING, PETER, NIGHT THRASHER/DUANE, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, PUNISHER II/FRANK CA, GREEN GOBLIN/NORMAN , GLADIATOR II, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, MCKEEVER, TINY, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, PERRIKUS, HUNTARA/MARY ELIZABE, ANT-MAN/DR. HENRY J., LEEDS, NED, NOVA II/FRANKIE RAYE, VISION , JAMESON, J. JONAH, MOLECULE MAN/OWEN RE, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, KINCAID, DR. KEITH, DEVLOR, WOLVERINE/LOGAN , KRAVEN THE HUNTER/SE, FAIRMONT, HANNAH, CAPTAIN MARVEL II/MO, IN-BETWEENER, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, VIBRAXAS/N'KANO, STORM/ORORO MUNROE S, GRIMM, JAKE, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, ADVA, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANNIHILUS, LEEDS, BETTY BRANT, JARVIS, EDWIN , SPIDER-MAN/PETER PAR, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
INVISIBLE WOMAN/SUE ,"DR. OCTOPUS/OTTO OCT, ROSENTHAL, BERNIE, ANT-MAN II/SCOTT HAR, ANDROMEDA/ANDROMEDA , VULTURE/ADRIAN TOOME, DAREDEVIL/MATT MURDO, PARKER, MAY, HUMAN TORCH/JOHNNY S, ANELLE, KRISTOFF/KRISTOFF VE, UATU, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, LYJA LAZERFIST [SKRU, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, STARFOX/EROS, OBLIVION, GALACTUS/GALAN, MASTERS, ALICIA REIS, THUNDERSTRIKE/ERIC K, SANDMAN/WILLIAM BAKE, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, BROMWELL, DR., ICEMAN/ROBERT BOBBY , RICHARDS, NATHANIEL, WONG, SCARLET WITCH/WANDA , PSI-LORD/FRANKLIN BE, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, BLACK PANTHER/T'CHAL, NIGHT THRASHER/DUANE, IRON MAN/TONY STARK , PUNISHER II/FRANK CA, GREEN GOBLIN/NORMAN , GLADIATOR II, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, MCKEEVER, TINY, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, HUNTARA/MARY ELIZABE, ANT-MAN/DR. HENRY J., LEEDS, NED, NOVA II/FRANKIE RAYE, VISION , JAMESON, J. JONAH, MOLECULE MAN/OWEN RE, THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, DEVLOR, WOLVERINE/LOGAN , KRAVEN THE HUNTER/SE, CAPTAIN MARVEL II/MO, IN-BETWEENER, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, VIBRAXAS/N'KANO, STORM/ORORO MUNROE S, GRIMM, JAKE, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, ANNIHILUS, LEEDS, BETTY BRANT, JARVIS, EDWIN , SPIDER-MAN/PETER PAR, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
INFINITY II,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
PUNISHER II/FRANK CA,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, CAPTAIN AMERICA, WATSON-PARKER, MARY , MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , JACKAL/MILES WARREN, INVISIBLE WOMAN/SUE , KAINE, MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
ANDROMEDA/ANDROMEDA ,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, NORRISS, SISTER BARB, STAR THIEF II, PUNISHER II/FRANK CA, GALACTUS/GALAN, KUBIK, INTERLOPER, MANSLAUGHTER, THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, MOONDRAGON/HEATHER D, LORD CHAOS, SILVER SURFER/NORRIN, HULK/DR. ROBERT BRUC, HUMAN TORCH/JOHNNY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, SOUTHERN, CANDY, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, CLOUD, GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DRAGON OF THE MOON, DEATH, GHOST RIDER III/DAN , BEYONDER, BLACK PANTHER/T'CHAL, IN-BETWEENER"
BEAST/HENRY &HANK& P,"EL TIGRE, ARISHEM [CELESTIAL], ZIRAN, ANDROMEDA/ANDROMEDA , INTERLOPER, ROGUE /, DAREDEVIL/MATT MURDO, HENDERSHOOT, COLONEL, PARKER, MAY, MOONDRAGON/HEATHER D, LOCUST, HUMAN TORCH/JOHNNY S, SCARECROW/EBENEZER L, UATU, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, ARIZE, GAMMENON [CELESTIAL], SHE-HULK/JENNIFER WA, ZELDA, GHOST RIDER III/DAN , BEYONDER, STINGER II/, KUKULCAN/VIRAKO/QUET, OBLIVION, NORRISS, SISTER BARB, GALACTUS/GALAN, FREDERICKS, GENERAL, THUNDERSTRIKE/ERIC K, SILVER SURFER/NORRIN, EEL/LEOPOLD STRYKE, KAUR, BENAZIR, ANGEL/WARREN KENNETH, SUPER-ADAPTOID/ALESS, UNUS THE UNTOUCHABLE, WONDER MAN/SIMON WIL, OGRE, TIGRA/GREER NELSON, MAGOG II, BISHOP /, KINE, BENEDICT, GARGOYLE II/ISAAC CH, ICEMAN/ROBERT BOBBY , FORGE, WONG, GOG III, SCARLET WITCH/WANDA , LUCIFER, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, DRAGON OF THE MOON, UNICORN/MYLOS MASARY, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, PUNISHER II/FRANK CA, BLOB/FRED J. DUKES, GREEN GOBLIN/NORMAN , SUPREME ONE, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, PLANTMAN/SAM SMITHER, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, ROBERTS, TED, PAYGE, REEVA, MCKEEVER, TINY, BANSHEE/SEAN CASSIDY, SPEEDBALL/ROBBIE BAL, SHAW, SHINOBI, CLOUD, ANT-MAN/DR. HENRY J., VISION , JAMESON, J. JONAH, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, WOLVERINE/LOGAN , HAWK, MIMIC/CALVIN RANKIN, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , IN-BETWEENER, BLACK WIDOW/NATASHA , MAJOR DOMO, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, STAR THIEF II, STORM/ORORO MUNROE S, PORCUPINE/ALEX GENTR, KUBIK, DAZZLER II/ALLISON B, OSBORN, LIZ ALLAN, MANSLAUGHTER, MOJO, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, TOLOC, WASP/JANET VAN DYNE , GAMBIT/REMY LEBEAU , NOVA/RICHARD RIDER, QUARK, SOUTHERN, CANDY, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, RAMON, PENANCE/MONET ST. CR, MANIPULATOR/, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, JARVIS, EDWIN , ONE ABOVE ALL [CELES, COUNT NEFARIA, LUCHI, CANTOR, VERA, DOMINUS, SPIDER-MAN/PETER PAR, SUMMERS, NATHAN CHRI, DEATH, HOGAN, HAROLD J. HAP, THOR/DR. DONALD BLAK"
GHOST RIDER III/DAN ,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, SILVER SURFER/NORRIN, HULK/DR. ROBERT BRUC, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DEATH, BLACK PANTHER/T'CHAL, IN-BETWEENER"
CYCLOPS/SCOTT SUMMER,"EL TIGRE, ARISHEM [CELESTIAL], ZIRAN, ANDROMEDA/ANDROMEDA , ROGUE /, DAREDEVIL/MATT MURDO, HENDERSHOOT, COLONEL, PARKER, MAY, LOCUST, HUMAN TORCH/JOHNNY S, SCARECROW/EBENEZER L, VANISHER, UATU, PULASKI, JOSEPHINE J, WILSON, JIM, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, SHIFFMAN, MAXIE, ARIZE, BEAST/HENRY &HANK& P, GAMMENON [CELESTIAL], SHE-HULK/JENNIFER WA, GHOST RIDER III/DAN , ARMBRUSTER, COLONEL , KUKULCAN/VIRAKO/QUET, OBLIVION, GALACTUS/GALAN, FREDERICKS, GENERAL, THOR/DR. DONALD BLAK, THUNDERSTRIKE/ERIC K, SILVER SURFER/NORRIN, EEL/LEOPOLD STRYKE, HAVOK/ALEX SUMMERS , ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, SUPER-ADAPTOID/ALESS, UNUS THE UNTOUCHABLE, WONDER MAN/SIMON WIL, OGRE, MAGOG II, ICEMAN/ROBERT BOBBY , FORGE, WONG, GOG III, SCARLET WITCH/WANDA , LUCIFER, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, UNICORN/MYLOS MASARY, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, IRON MAN/TONY STARK , PUNISHER II/FRANK CA, BLOB/FRED J. DUKES, GREEN GOBLIN/NORMAN , SUPREME ONE, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, PLANTMAN/SAM SMITHER, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SUMMERS, MADELYNE MA, TILBY, TRISH/PATRICI, ROBERTS, TED, MCKEEVER, TINY, BANSHEE/SEAN CASSIDY, SPEEDBALL/ROBBIE BAL, ANT-MAN/DR. HENRY J., VISION , JAMESON, J. JONAH, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, WOLVERINE/LOGAN , JUGGERNAUT/CAIN MARK, MIMIC/CALVIN RANKIN, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , IN-BETWEENER, MAJOR DOMO, NIGHTCRAWLER/KURT WA, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, PORCUPINE/ALEX GENTR, GATEWAY, DAZZLER II/ALLISON B, OSBORN, LIZ ALLAN, MOJO, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, LONGSHOT, TOLOC, WASP/JANET VAN DYNE , GAMBIT/REMY LEBEAU , NOVA/RICHARD RIDER, CORBEAU, DR. PETER, BANNER, BETTY ROSS T, QUARK, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, RAMON, COLOSSUS II/PETER RA, PENANCE/MONET ST. CR, LEEDS, BETTY BRANT, ONE ABOVE ALL [CELES, COUNT NEFARIA, LUCHI, CANTOR, VERA, DOMINUS, ROSS, GEN. THADDEUS , POLARIS/LORNA DANE, DEATH, SPIDER-MAN/PETER PAR, SUMMERS, NATHAN CHRI, HOGAN, HAROLD J. HAP, ZELDA"
LIVING LASER/ARTHUR ,"IRON MAN IV/JAMES R., CABE, BETHANY, ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK "
"CABE, BETHANY","IRON MAN IV/JAMES R., LIVING LASER/ARTHUR , ERWIN, CLYTEMNESTRA, IRON MAN/TONY STARK "
SPYMASTER/JAKE JORDA,"IRON MAN IV/JAMES R., HOGAN, HAROLD J. HAP, HOGAN, VIRGINIA PEPP, IRON MAN/TONY STARK "
"HOGAN, VIRGINIA PEPP","IRON MAN/TONY STARK , RODGERS, MARIANNE, SUPER-ADAPTOID/ALESS, IRON MAN IV/JAMES R., SPYMASTER/JAKE JORDA, HOGAN, HAROLD J. HAP"
